Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM
2019-01-02,1539.13,83.57,316.52,64.78,3.45,57.78,32.04,153.67,36.06,12.3,259.65,57.24,7.16,98.69,74.09,32.75,46.82,9.08,243.42,183.21,133.55,151.77,82.13,5.79,119.74,310.12,25.64,37.46,53.75,37.08,66.5
2019-01-03,1500.28,80.33,303.9,63.97,3.4,57.51,30.59,149.87,36.02,12.41,253.13,54.93,7.3,98.72,72.57,31.0,47.05,9.19,237.05,179.7,133.98,147.48,82.3,5.68,121.1,300.36,25.5,39.22,53.94,34.55,65.48
2019-01-04,1575.39,82.89,319.71,65.97,3.38,58.05,33.26,154.17,36.77,12.32,259.96,56.73,7.66,98.72,74.76,32.7,47.81,9.2,244.93,184.39,138.51,151.37,82.12,5.95,119.7,317.69,25.46,36.07,54.07,36.01,67.9
2019-01-07,1629.51,81.28,320.72,65.65,3.65,58.4,33.08,155.03,36.95,12.35,262.94,57.13,8.14,98.71,73.93,34.0,47.8,9.22,246.84,187.35,141.52,152.97,82.07,6.21,119.35,334.96,25.35,35.31,54.42,37.29,68.25
2019-01-08,1656.58,81.55,332.86,65.47,3.78,59.05,32.87,155.04,37.19,12.32,264.69,58.71,8.15,98.72,74.48,33.74,48.31,9.0,247.96,190.43,141.4,154.79,82.02,6.4,119.03,335.35,25.43,34.57,56.01,36.93,68.75
2019-01-09,1659.42,84.13,336.09,66.59,3.75,59.78,34.11,157.23,37.32,12.39,265.35,59.75,8.24,98.75,73.91,35.44,48.56,9.04,249.13,193.11,144.99,155.5,82.06,6.28,118.85,338.53,25.19,33.77,55.3,38.56,69.11
2019-01-10,1656.22,84.69,344.67,66.78,3.97,60.29,33.74,158.72,37.47,12.32,272.18,59.12,8.47,98.77,73.0,35.91,49.27,8.97,254.58,196.0,144.43,157.12,82.07,6.22,118.08,344.97,25.34,33.42,55.84,38.58,68.76
2019-01-11,1640.56,84.65,344.95,66.28,3.88,60.56,33.66,160.07,37.49,12.34,272.4,58.42,8.53,98.8,73.41,36.01,49.47,9.13,252.99,195.97,141.44,156.72,82.12,6.28,118.54,347.26,25.36,32.33,56.24,38.8,68.44
2019-01-14,1617.21,84.2,342.47,65.6,3.6,60.08,33.48,160.77,36.76,12.37,272.19,57.03,8.61,98.82,71.91,34.67,48.51,9.22,256.85,194.93,142.09,158.04,82.12,6.31,118.1,334.4,25.36,32.46,56.25,36.89,68.36
2019-01-15,1674.56,79.41,344.31,67.01,3.64,60.68,33.67,159.42,37.18,12.35,270.7,56.82,8.74,98.83,73.02,33.99,49.15,9.26,255.84,200.17,142.23,157.68,82.14,6.54,117.67,344.43,25.45,31.0,56.32,36.52,68.39
2019-01-16,1683.78,80.0,344.13,67.72,3.62,60.59,33.95,159.87,36.57,12.39,267.16,56.1,8.54,98.86,73.13,33.58,49.49,9.35,252.68,201.3,142.74,156.93,82.12,5.64,117.79,346.05,25.48,31.56,55.33,36.66,68.37
2019-01-17,1693.22,84.57,351.0,68.57,3.64,60.46,34.28,162.86,37.11,12.38,273.45,55.9,8.72,98.86,74.1,33.88,49.4,9.36,260.92,203.3,142.47,160.33,82.12,5.74,117.82,347.31,25.48,31.24,55.09,35.35,68.83
2019-01-18,1696.2,85.05,356.52,70.07,3.69,61.08,34.57,165.67,37.19,12.27,277.44,56.99,8.96,98.92,74.36,35.76,49.94,9.39,264.55,203.3,144.09,162.86,82.05,6.18,117.2,302.26,25.56,30.45,55.34,37.99,69.65
2019-01-22,1632.17,84.69,349.84,69.11,3.67,60.62,34.35,164.34,37.1,12.3,274.23,57.1,8.48,98.94,74.33,33.87,49.8,9.41,261.56,203.0,139.2,161.19,82.12,5.93,118.0,298.92,25.56,33.24,55.25,36.4,68.6
2019-01-23,1640.02,85.09,350.53,69.09,3.49,61.22,34.51,165.9,37.2,12.29,278.07,57.83,8.49,98.96,73.94,34.24,50.36,9.47,267.0,205.72,136.65,162.66,82.1,5.99,117.95,287.59,25.5,32.92,55.99,36.46,68.04
2019-01-24,1654.93,84.16,350.2,69.4,3.75,61.07,34.16,167.88,36.53,12.26,279.78,57.83,8.87,99.02,71.72,36.59,50.85,9.48,266.59,210.47,137.54,163.76,82.16,6.17,118.72,291.51,25.65,31.86,55.32,38.9,68.14
2019-01-25,1670.57,85.59,356.0,69.77,3.67,60.72,35.44,168.27,36.58,12.45,281.53,58.79,9.13,99.03,71.5,38.96,50.19,9.47,269.57,209.72,139.44,165.03,82.11,6.4,118.15,297.04,25.44,30.64,54.67,41.83,68.44
2019-01-28,1637.89,84.84,354.8,69.62,3.65,61.6,35.41,169.22,36.6,12.48,282.35,58.49,9.14,99.05,71.47,38.08,50.32,9.49,271.02,207.61,138.93,166.05,82.12,6.34,118.03,296.38,25.46,31.95,53.39,42.64,67.98
2019-01-29,1593.88,84.29,356.69,69.7,3.68,62.53,35.22,172.97,36.86,12.57,286.45,61.29,8.79,99.06,71.78,37.39,51.21,9.55,276.78,206.77,139.41,168.59,82.15,6.43,118.63,297.46,25.47,31.83,51.65,41.24,68.24
2019-01-30,1670.43,85.25,378.99,71.15,3.79,62.79,35.9,167.96,36.85,12.63,286.07,63.24,9.15,99.11,71.91,38.24,51.84,9.58,277.46,212.86,140.72,168.82,82.26,6.57,118.54,308.77,25.34,30.41,52.35,42.48,68.99
2019-01-31,1718.73,86.73,376.94,71.92,4.09,63.5,36.13,168.22,37.32,12.64,284.13,63.52,8.82,99.13,72.95,38.22,52.33,9.59,272.25,214.82,141.52,162.22,82.33,6.68,119.56,307.02,25.39,29.15,53.38,43.6,69.93
2019-02-01,1626.23,86.82,378.7,71.56,4.0,63.87,35.88,166.12,37.32,12.62,285.01,64.33,9.35,99.17,74.93,39.6,52.61,9.55,269.69,220.27,142.21,163.41,82.23,6.91,118.84,312.21,25.39,28.86,52.88,45.55,72.45
2019-02-04,1633.31,86.63,388.06,72.0,4.13,64.0,35.97,171.6,37.26,12.56,293.04,64.14,9.44,99.19,75.34,39.47,52.44,9.55,275.39,220.16,143.76,171.96,82.23,6.93,118.31,312.89,25.46,27.95,52.39,46.37,71.4
2019-02-05,1658.81,86.85,400.94,71.48,4.15,63.56,37.32,169.25,37.56,12.59,293.71,65.4,9.49,99.23,75.62,39.37,52.77,9.59,275.13,218.93,142.79,173.27,82.23,7.04,118.85,321.35,25.53,27.75,52.48,45.95,72.14
2019-02-06,1640.26,85.99,401.85,71.2,4.09,64.14,37.01,169.78,38.73,12.51,294.08,64.41,9.31,99.24,75.85,41.52,52.52,9.54,277.05,220.55,141.0,172.38,82.27,8.59,118.91,317.22,25.63,27.55,52.14,46.52,71.82
2019-02-07,1614.37,84.55,398.03,70.55,3.9,63.87,36.94,170.6,38.62,12.55,294.37,63.56,8.95,99.26,75.3,39.38,52.84,9.58,275.2,219.45,136.02,173.37,82.33,8.57,119.7,307.51,25.69,28.51,51.93,44.45,71.27
2019-02-08,1588.22,80.34,397.78,70.94,3.82,64.5,36.6,169.15,39.12,12.59,295.72,64.0,8.92,99.27,75.98,38.58,52.61,9.57,277.26,224.62,134.95,173.21,82.36,9.1,120.21,305.8,25.72,28.17,52.3,45.27,71.38
2019-02-11,1591.0,79.52,396.84,71.16,3.62,64.59,36.3,167.98,38.3,12.53,294.28,64.08,9.14,99.31,75.19,38.58,52.36,9.61,278.1,223.86,136.88,175.09,82.33,8.99,119.74,312.84,25.82,27.85,52.4,44.51,71.5
2019-02-12,1638.01,80.74,403.49,71.91,3.55,64.82,37.15,169.78,38.59,12.56,298.28,66.08,9.3,99.3,76.96,40.4,52.34,9.6,280.68,224.45,140.6,178.33,82.32,8.8,119.43,311.81,25.73,27.35,52.76,45.8,72.75
2019-02-13,1640.0,81.92,403.35,72.1,3.5,64.74,37.5,170.49,38.43,12.51,298.58,65.51,6.82,99.29,77.45,41.68,52.24,9.53,279.91,222.16,145.13,178.15,82.26,9.07,118.98,308.17,25.87,27.26,52.81,46.22,73.57
2019-02-14,1622.65,87.96,402.6,71.87,3.43,64.26,37.42,169.13,38.9,12.58,295.23,64.86,7.12,99.32,77.37,42.23,52.2,9.42,277.24,225.16,142.28,178.34,82.37,9.19,119.66,303.77,25.84,27.75,52.38,46.5,73.59
2019-02-15,1607.95,86.96,410.61,72.85,3.52,65.27,38.15,172.22,39.26,12.66,301.34,65.54,7.23,99.32,78.23,41.99,52.16,9.36,283.55,226.77,144.54,181.77,82.33,9.12,119.84,307.88,25.79,26.81,53.47,46.18,74.98
2019-02-19,1627.58,88.42,408.93,72.89,3.63,65.51,37.75,171.77,39.31,12.84,299.32,66.74,7.36,99.33,77.67,41.96,52.93,9.35,283.91,229.9,144.74,181.78,82.39,9.28,120.15,305.64,25.69,26.87,53.74,46.52,75.48
2019-02-20,1622.1,89.48,414.13,73.54,3.57,65.3,39.27,171.44,39.38,12.83,301.31,66.55,7.73,99.36,77.85,42.21,53.34,9.28,284.77,226.64,140.49,184.41,82.38,9.24,119.8,302.56,25.71,25.83,54.05,46.97,75.77
2019-02-21,1619.44,90.25,410.23,73.45,3.5,65.49,39.19,168.67,39.16,12.67,298.67,66.37,7.59,99.38,78.25,41.53,53.72,9.23,284.06,226.18,135.39,182.53,82.35,9.39,118.73,291.23,25.73,26.09,54.43,45.73,75.09
2019-02-22,1631.56,89.41,416.58,74.09,3.58,65.68,39.14,169.57,39.17,12.73,301.24,67.1,7.74,99.39,79.17,42.57,53.98,9.31,286.45,230.1,141.33,183.74,82.41,9.71,119.44,294.71,25.72,25.13,55.18,47.96,75.67
2019-02-25,1633.0,89.51,419.35,74.2,3.63,65.31,39.17,170.16,39.11,12.72,300.1,67.72,8.0,99.4,78.78,42.75,53.84,9.26,284.8,233.88,142.13,183.38,82.4,10.12,119.09,298.77,25.7,25.6,55.04,49.78,75.74
2019-02-26,1636.4,90.47,419.25,74.32,3.67,65.28,38.34,167.07,39.12,12.73,300.01,68.27,8.61,99.42,79.14,42.96,54.66,9.26,284.31,235.55,141.96,182.39,82.44,10.08,119.68,297.86,25.6,25.83,54.91,49.4,75.9
2019-02-27,1641.09,92.06,427.77,74.48,3.72,64.67,38.16,166.42,39.08,12.65,301.68,67.87,8.86,99.44,79.02,41.32,54.5,9.25,284.53,254.88,140.78,182.51,82.42,9.81,118.32,314.74,25.62,25.87,54.98,47.04,76.68
2019-02-28,1639.83,91.68,432.21,74.33,3.56,64.67,38.44,167.29,38.99,12.58,305.66,67.83,8.48,99.44,79.68,40.88,54.26,9.3,287.69,246.27,140.16,183.63,82.4,9.8,117.92,319.88,25.64,25.82,55.18,48.75,76.26
2019-03-01,1671.73,92.15,432.86,75.43,3.61,64.8,38.47,166.36,39.02,12.36,305.72,69.09,9.11,99.48,80.03,41.58,54.24,9.24,284.75,245.47,143.65,183.32,82.35,9.8,116.83,294.79,25.74,24.67,55.22,50.07,77.19
2019-03-04,1696.17,89.67,425.07,75.06,3.5,64.83,37.44,163.88,38.91,12.33,301.0,68.86,8.88,99.5,79.76,41.06,54.08,9.27,280.88,242.54,143.24,180.87,82.37,9.92,117.74,285.36,25.77,25.27,54.52,50.99,77.49
2019-03-05,1692.43,90.85,422.55,75.3,3.53,64.52,37.99,165.13,38.99,12.34,302.05,69.11,8.76,99.48,80.08,39.99,53.88,9.27,280.66,234.34,141.56,179.81,82.38,10.08,117.99,276.54,25.84,25.43,54.36,49.18,77.37
2019-03-06,1668.95,88.07,416.98,74.33,3.43,64.42,37.23,163.6,38.82,12.32,299.64,68.07,8.49,99.52,79.16,37.93,53.62,9.27,278.26,234.44,137.97,178.79,82.44,9.87,118.42,276.24,25.84,26.08,53.98,46.64,76.5
2019-03-07,1625.95,88.19,415.12,74.32,3.45,64.15,36.76,163.47,38.76,12.31,299.34,67.34,8.14,99.54,78.85,37.83,54.47,9.27,274.28,234.52,135.56,177.45,82.5,9.49,119.19,276.59,26.07,27.16,54.58,45.54,77.35
2019-03-08,1620.8,87.58,415.1,73.73,3.51,64.16,36.79,163.28,38.76,12.45,297.3,68.06,7.89,99.55,78.22,38.65,54.95,9.33,273.8,234.63,129.63,177.98,82.53,9.48,119.69,284.14,25.99,27.32,54.8,46.02,76.24
2019-03-11,1670.62,89.75,392.97,74.72,3.62,64.65,37.22,166.59,38.72,12.39,300.71,68.18,8.24,99.57,79.27,39.03,55.08,9.46,277.03,240.88,131.7,179.34,82.51,9.96,119.34,290.92,25.93,25.34,55.82,48.13,76.98
2019-03-12,1673.1,90.54,368.8,75.27,3.71,64.54,37.83,165.86,38.69,12.47,298.26,68.82,8.39,99.57,79.62,39.25,55.41,9.42,273.02,240.22,134.27,177.2,82.54,9.88,120.18,283.36,25.88,24.6,55.67,47.63,77.19
2019-03-13,1690.81,91.46,370.5,75.97,3.88,65.31,38.74,168.76,38.98,12.56,299.77,69.55,7.93,99.58,79.98,38.83,55.68,9.49,276.97,242.75,134.92,178.79,82.55,10.05,119.95,288.96,25.76,24.35,55.9,47.48,77.88
2019-03-14,1686.22,91.45,366.73,76.1,3.78,65.05,38.64,166.67,39.06,12.41,294.89,70.49,7.94,99.61,80.41,38.41,55.58,9.47,272.6,242.76,135.61,177.48,82.57,11.28,119.08,289.96,25.84,23.97,56.18,46.11,77.62
2019-03-15,1712.36,89.81,372.32,76.53,4.85,65.98,38.68,166.86,39.25,12.46,292.56,71.32,7.89,99.63,80.49,39.54,55.97,9.48,269.09,239.72,134.91,175.21,82.6,11.16,119.87,275.43,25.8,23.5,56.6,46.62,77.34
2019-03-18,1742.15,90.28,365.72,76.54,4.99,65.08,38.74,168.71,39.11,12.48,294.03,71.26,7.9,99.65,80.28,39.61,56.3,9.51,272.74,241.01,137.8,177.46,82.58,10.94,119.8,269.49,25.77,23.56,56.29,46.8,78.23
2019-03-19,1761.85,90.65,366.85,77.17,4.97,64.55,39.08,167.78,39.07,12.51,293.01,71.6,7.61,99.65,80.83,40.37,56.08,9.46,268.89,242.5,137.44,177.4,82.57,10.63,119.54,267.47,25.74,23.75,55.74,46.4,78.03
2019-03-20,1797.27,88.8,369.54,76.76,4.83,63.93,40.0,165.59,39.42,12.59,292.39,72.29,7.52,99.65,81.0,40.13,56.14,9.43,268.34,245.82,143.63,177.25,82.69,10.94,120.79,273.6,25.59,23.97,55.91,45.72,78.46
2019-03-21,1819.26,90.81,366.14,78.03,4.78,64.63,39.25,166.9,39.84,12.54,295.39,71.76,7.45,99.68,81.86,43.99,55.82,9.49,270.35,249.79,144.77,179.13,82.69,11.01,121.05,274.02,25.75,23.61,56.51,50.18,78.92
2019-03-22,1764.77,89.57,355.79,76.82,4.6,64.8,37.92,162.99,39.85,12.57,290.45,69.86,7.03,99.7,81.2,41.62,55.89,9.41,266.26,242.36,139.77,177.22,82.83,10.73,122.93,264.53,25.8,26.35,57.93,46.9,77.65
2019-03-25,1774.26,88.72,363.94,77.21,4.62,65.06,38.67,163.75,39.81,12.67,290.56,71.03,7.01,99.72,81.26,40.55,55.87,9.41,266.5,241.83,139.15,177.84,82.92,10.72,123.13,260.42,25.8,26.4,58.24,46.41,77.11
2019-03-26,1783.76,89.97,363.86,78.38,4.5,65.7,39.09,164.02,40.19,12.61,291.35,71.82,7.1,99.75,81.83,40.32,56.59,9.42,263.77,244.2,142.27,178.13,82.91,10.76,123.04,267.77,25.88,24.99,58.78,45.63,78.12
2019-03-27,1765.7,88.42,367.62,78.66,4.38,65.79,38.78,163.69,40.31,12.54,290.39,72.02,7.11,99.76,81.2,39.23,56.26,9.4,261.85,239.45,146.33,177.05,82.98,10.64,124.17,274.83,25.91,25.37,59.02,43.98,77.52
2019-03-28,1773.42,91.32,367.85,79.26,4.3,66.14,39.09,164.87,40.45,12.36,292.02,72.3,7.26,99.77,81.54,39.34,53.97,9.52,264.91,238.39,152.39,178.17,82.97,10.79,124.61,278.62,26.0,24.82,57.27,44.83,77.91
2019-03-29,1780.75,90.25,374.7,80.87,4.26,67.29,39.86,166.36,40.37,12.38,296.52,72.87,7.44,99.77,82.07,41.33,53.63,9.45,267.49,242.88,151.76,179.28,82.92,11.02,124.49,279.86,26.03,24.02,57.32,47.1,77.96
2019-04-01,1814.19,90.73,384.64,81.33,4.38,67.06,40.13,169.34,40.39,12.32,300.6,74.01,8.01,99.79,82.2,42.25,53.2,9.51,271.96,241.41,150.47,181.92,82.83,11.36,122.72,289.18,26.01,23.62,57.28,48.32,78.86
2019-04-02,1813.98,90.25,383.87,81.1,4.37,67.13,40.52,167.01,40.46,12.37,299.43,74.36,8.16,99.8,82.11,42.44,53.2,9.46,271.19,240.2,147.67,182.95,82.87,11.22,122.95,285.88,26.04,23.55,56.74,49.37,78.52
2019-04-03,1820.7,89.48,377.96,80.43,4.13,66.59,40.79,164.86,40.34,12.35,293.67,74.31,8.09,99.81,82.08,43.9,53.23,9.46,264.67,242.21,145.56,174.64,82.83,11.16,121.88,291.81,26.0,23.72,57.07,50.97,78.06
2019-04-04,1818.86,89.73,388.89,80.12,4.22,66.32,40.65,166.25,40.27,12.38,296.04,74.19,8.3,99.82,80.77,42.89,52.98,9.49,268.89,237.07,147.01,174.23,82.85,11.28,122.23,267.78,26.03,23.52,57.19,50.37,79.17
2019-04-05,1837.28,90.72,385.03,80.24,4.18,66.68,40.57,168.17,40.19,12.37,298.91,74.6,8.37,99.85,80.08,43.32,52.39,9.47,274.14,238.85,150.16,176.87,82.84,11.84,122.38,274.96,26.06,23.01,57.28,51.0,79.59
2019-04-08,1849.86,89.44,367.92,79.23,4.14,66.78,40.53,169.33,40.25,12.43,301.96,73.92,8.48,99.86,79.88,42.9,52.29,9.54,274.73,238.88,151.21,178.83,82.82,12.27,121.95,273.2,25.97,22.91,57.32,50.56,80.09
2019-04-09,1835.84,87.66,362.54,79.64,4.28,66.87,40.57,166.25,40.08,12.48,299.01,72.8,8.4,99.87,79.73,41.72,52.03,9.49,271.33,240.77,148.43,177.2,82.83,12.35,122.34,272.31,25.98,23.72,57.2,49.11,79.05
2019-04-10,1847.33,87.99,358.51,79.73,4.42,66.87,40.76,166.45,39.87,12.52,295.49,75.29,8.61,99.87,79.75,42.17,52.29,9.49,268.41,242.52,149.97,176.77,82.9,12.02,122.63,276.06,25.94,23.08,57.4,49.67,78.7
2019-04-11,1844.07,86.34,363.64,79.4,4.15,66.85,41.01,169.5,39.55,12.37,301.89,76.63,8.62,99.89,78.79,42.28,51.81,9.51,275.22,245.93,150.4,179.6,82.85,11.9,121.91,268.42,26.02,22.59,57.35,49.81,79.07
2019-04-12,1843.06,86.24,372.95,78.89,4.13,67.52,40.96,172.96,39.22,12.35,305.95,76.81,9.0,99.91,78.38,42.01,51.65,9.49,280.83,244.66,167.74,182.52,82.8,11.97,121.04,267.7,25.96,21.55,57.53,50.79,78.08
2019-04-15,1844.87,85.74,368.85,79.18,3.94,67.46,40.82,170.06,39.38,12.33,304.97,76.46,9.14,99.92,77.49,41.82,51.68,9.48,278.03,248.22,167.16,180.89,82.81,11.85,121.35,266.38,25.95,21.3,57.5,50.82,77.82
2019-04-16,1863.04,87.87,375.0,77.2,3.9,67.78,40.57,171.78,38.9,12.23,306.3,76.98,10.29,99.92,76.54,42.76,51.16,9.47,279.41,244.48,170.65,180.49,82.8,11.69,120.59,273.36,26.01,21.16,57.58,53.2,78.35
2019-04-17,1864.82,88.87,370.87,73.99,3.77,67.85,39.41,172.56,38.62,12.21,306.74,78.36,10.5,99.95,72.94,43.15,51.23,9.44,276.59,239.43,172.41,178.83,82.83,11.75,120.64,271.23,25.99,21.28,56.59,53.36,78.57
